,重型,,,,,,,,輕型,,,,,,,,小型輕型,,,,,,,
,經濟部工業局,行政院環保署,新北市,台北市,桃園市,台中市,台南市,高雄市,經濟部工業局,行政院環保署,新北市,台北市,桃園市,台中市,台南市,高雄市,經濟部工業局,行政院環保署,新北市,台北市,桃園市,台中市,台南市,高雄市
2019-08,10000,3000,4000,4000,10000,3000,7500,4000,10000,1000,4000,4000,10000,3000,3000,3000,7200,1000,4000,4000,10000,3000,3000,3000
2019-09,10000,3000,4000,4000,10000,3000,7500,4000,10000,1000,4000,4000,10000,3000,3000,3000,7200,1000,4000,4000,10000,3000,3000,3000
2019-10,10000,3000,4000,4000,10000,3000,7500,4000,10000,1000,4000,4000,10000,3000,3000,3000,7200,1000,4000,4000,10000,3000,3000,3000
2019-11,10000,3000,4000,4000,10000,3000,7500,4000,10000,1000,4000,4000,10000,3000,3000,3000,7200,1000,4000,4000,10000,3000,3000,3000
2019-12,10000,3000,4000,4000,10000,3000,7500,4000,10000,1000,4000,4000,10000,3000,3000,3000,7200,1000,4000,4000,10000,3000,3000,3000
2020-01,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2020-02,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2020-03,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2020-04,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2020-05,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2020-06,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2020-07,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2020-08,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2020-09,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2020-10,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2020-11,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2020-12,7000,0,4000,0,6000,3000,6000,0,7000,0,2000,0,3000,3000,2000,0,5100,0,2000,0,3000,3000,2000,0
2021-01,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2021-02,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2021-03,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2021-04,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2021-05,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2021-06,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2021-07,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2021-08,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2021-09,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2021-10,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2021-11,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2021-12,7000,0,4000,12000,4000,3000,6000,5000,7000,0,2000,2000,2000,3000,2000,1500,5100,0,2000,2000,2000,3000,2000,1500
2022-01,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2022-02,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2022-03,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2022-04,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2022-05,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2022-06,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2022-07,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2022-08,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2022-09,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2022-10,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2022-11,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2022-12,7000,0,4000,12000,12000,3000,4000,4000,7000,0,2000,2000,10000,3000,1000,2000,5100,0,2000,2000,10000,3000,1000,2000
2023-01,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
2023-02,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
2023-03,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
2023-04,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
2023-05,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
2023-06,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
2023-07,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
2023-08,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
2023-09,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
2023-10,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
2023-11,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
2023-12,7000,0,4000,12000,4000,3000,4000,4000,7000,0,2000,2000,2000,3000,2000,2000,5100,0,2000,2000,2000,3000,2000,2000
