county,新北市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桃園市,,,,,,,,,,,,,臺中市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,臺北市,,,,,,,,,,,,臺南市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高雄市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,總計
district,三峽區,三芝區,三重區,中和區,五股區,八里區,土城區,坪林區,平溪區,新店區,新莊區,板橋區,林口區,樹林區,永和區,汐止區,泰山區,淡水區,深坑區,烏來區,瑞芳區,石碇區,石門區,萬里區,蘆洲區,貢寮區,金山區,雙溪區,鶯歌區,中壢區,八德區,大園區,大溪區,平鎮區,復興區,新屋區,桃園區,楊梅區,蘆竹區,觀音區,龍潭區,龜山區,中區,北區,北屯區,南區,南屯區,后里區,和平區,外埔區,大安區,大甲區,大肚區,大里區,大雅區,太平區,新社區,東勢區,東區,梧棲區,沙鹿區,清水區,潭子區,烏日區,石岡區,神岡區,西區,西屯區,豐原區,霧峰區,龍井區,中山區,中正區,信義區,內湖區,北投區,南港區,士林區,大同區,大安區,文山區,松山區,萬華區,七股區,下營區,中西區,仁德區,佳里區,六甲區,北區,北門區,南化區,南區,善化區,大內區,學甲區,安南區,安定區,安平區,官田區,將軍區,山上區,左鎮區,後壁區,新化區,新市區,新營區,東區,東山區,柳營區,楠西區,歸仁區,永康區,玉井區,白河區,西港區,關廟區,鹽水區,麻豆區,龍崎區,三民區,仁武區,內門區,六龜區,前金區,前鎮區,大寮區,大樹區,大社區,小港區,岡山區,左營區,彌陀區,新興區,旗山區,旗津區,杉林區,林園區,桃源區,梓官區,楠梓區,橋頭區,永安區,湖內區,燕巢區,田寮區,甲仙區,美濃區,苓雅區,茂林區,茄萣區,路竹區,那瑪夏區,阿蓮區,鳥松區,鳳山區,鹽埕區,鼓山區,
2023/2/1,2131,330,8966,9981,1996,740,5703,69,53,5449,10203,13096,2186,3777,5256,4030,1904,3976,399,119,475,99,156,265,4837,141,258,128,1388,17747,8686,3642,3212,9203,310,1284,22758,6197,6841,1844,4590,7826,544,5339,9459,4033,5565,1136,161,554,263,1316,1020,6356,2543,5863,410,898,2461,1036,2161,1425,2658,1869,265,1498,4153,7553,4659,1387,1628,4745,3642,4338,7124,5454,3537,6113,2817,4969,5522,5475,4197,392,318,3011,2388,1303,344,4949,179,158,4638,1336,161,473,5877,1290,3466,328,322,153,60,310,960,912,1644,7353,255,360,133,2129,8339,208,337,422,813,444,969,70,10656,3135,142,124,1069,5758,2902,870,995,4309,2326,6169,397,1705,548,811,134,1599,23,895,5483,929,286,457,505,58,72,473,5035,17,414,862,18,444,1374,11008,740,5099,453042
2023/3/1,2153,330,9037,10052,2011,750,5745,69,53,5478,10295,13181,2214,3813,5293,4057,1919,4011,401,121,480,99,159,266,4863,143,259,129,1399,17796,8708,3650,3220,9234,314,1287,22811,6211,6856,1852,4604,7848,544,5355,9500,4058,5591,1145,165,557,265,1326,1023,6383,2557,5900,410,906,2471,1044,2175,1434,2671,1878,265,1505,4173,7587,4679,1394,1639,4792,3665,4378,7185,5498,3560,6170,2852,5006,5563,5507,4222,394,321,3025,2395,1307,345,4976,180,158,4660,1346,161,474,5900,1291,3474,329,322,153,60,310,962,914,1656,7390,256,362,134,2140,8370,208,338,424,814,446,974,70,10725,3155,144,125,1075,5801,2930,873,999,4338,2338,6218,399,1717,550,815,134,1605,23,902,5537,938,286,459,510,59,72,478,5068,18,419,867,18,450,1379,11075,744,5152,455603
2023/4/1,2163,331,9113,10145,2032,766,5806,69,53,5518,10417,13306,2241,3848,5356,4095,1941,4044,402,122,483,99,160,266,4916,145,261,131,1413,17905,8776,3658,3241,9279,318,1293,22962,6245,6893,1859,4635,7888,544,5385,9577,4087,5628,1151,167,561,268,1339,1028,6413,2580,5945,412,915,2489,1052,2190,1450,2691,1894,267,1513,4197,7635,4719,1401,1652,4854,3684,4417,7280,5568,3596,6250,2891,5048,5615,5554,4272,398,325,3050,2411,1316,348,5005,180,159,4683,1355,162,476,5975,1297,3483,331,324,153,61,310,967,922,1666,7442,260,364,134,2150,8430,209,341,427,820,449,981,70,10812,3184,144,127,1081,5843,2977,880,1006,4377,2353,6285,399,1726,553,824,135,1619,23,908,5580,951,287,467,515,60,75,480,5098,18,426,870,18,455,1388,11166,748,5181,459246
2023/5/1,2166,332,9171,10217,2042,773,5863,71,53,5541,10507,13409,2269,3884,5397,4136,1955,4074,405,124,484,100,160,266,4947,146,261,131,1422,18001,8825,3677,3252,9324,319,1296,23068,6274,6929,1871,4655,7923,551,5416,9647,4104,5657,1158,167,563,269,1343,1035,6453,2597,5985,415,917,2507,1058,2208,1456,2708,1905,268,1525,4215,7681,4766,1405,1658,4901,3715,4458,7337,5643,3616,6313,2920,5095,5643,5594,4317,398,329,3066,2423,1321,348,5035,181,159,4705,1357,163,478,6016,1304,3499,331,325,154,62,312,971,927,1672,7484,261,365,134,2159,8481,209,342,432,822,449,983,72,10895,3217,146,127,1088,5866,3009,885,1011,4423,2368,6330,402,1731,556,830,135,1629,23,922,5629,962,287,468,516,61,75,485,5133,18,429,875,18,457,1399,11243,750,5227,462263
2023/6/1,2170,336,9263,10319,2063,789,5921,73,54,5630,10624,13534,2298,3914,5476,4184,1976,4114,410,125,487,101,161,270,5019,149,263,132,1427,18129,8871,3685,3270,9380,321,1298,23196,6313,6965,1883,4690,7967,556,5471,9739,4158,5717,1174,170,578,277,1365,1045,6516,2617,6054,418,924,2528,1071,2239,1475,2730,1921,270,1539,4240,7743,4832,1417,1676,4965,3748,4501,7430,5707,3653,6405,2955,5147,5730,5633,4379,399,334,3092,2444,1332,350,5072,181,159,4747,1367,164,481,6087,1310,3530,332,329,155,62,314,985,934,1688,7567,263,366,136,2182,8554,211,346,435,833,453,991,74,10985,3247,147,129,1095,5905,3032,894,1026,4468,2391,6384,406,1743,559,833,136,1641,23,928,5680,973,290,474,520,62,75,492,5178,18,434,883,20,460,1411,11334,753,5257,466508
2023/7/1,2221,337,9360,10403,2091,794,5969,75,54,5700,10712,13668,2321,3955,5518,4222,1989,4144,412,126,494,103,163,271,5073,151,267,133,1451,18247,8926,3695,3295,9439,326,1303,23305,6353,7002,1894,4713,8002,562,5516,9820,4184,5763,1183,171,585,278,1378,1049,6568,2636,6107,426,931,2550,1077,2260,1482,2769,1936,271,1553,4263,7794,4874,1426,1690,5017,3782,4557,7505,5775,3681,6481,2985,5202,5827,5670,4426,404,338,3121,2470,1335,350,5109,183,159,4783,1383,165,484,6134,1311,3548,332,330,156,63,316,990,940,1693,7626,267,368,137,2188,8600,213,348,439,835,455,996,74,11055,3267,148,130,1103,5942,3059,900,1033,4498,2409,6431,408,1757,567,840,136,1652,23,929,5716,979,291,478,522,63,76,498,5212,18,438,887,20,461,1417,11421,759,5291,470164
2023/8/1,2227,340,9454,10508,2115,802,6036,76,54,5779,10842,13784,2352,3985,5587,4263,2014,4187,414,126,503,103,163,279,5115,153,279,133,1462,18372,8994,3715,3314,9500,331,1309,23444,6394,7039,1905,4743,8041,569,5564,9946,4224,5829,1191,173,594,279,1401,1064,6646,2663,6198,434,941,2568,1090,2291,1504,2823,1966,271,1564,4310,7865,4912,1441,1707,5072,3822,4612,7599,5841,3712,6556,3015,5261,5905,5722,4479,406,341,3152,2486,1343,352,5143,185,161,4806,1394,166,485,6185,1314,3563,334,330,156,63,320,1001,944,1698,7671,269,369,137,2196,8671,217,350,444,837,457,999,75,11118,3287,149,130,1119,5997,3075,904,1040,4539,2428,6487,411,1767,572,842,137,1657,23,935,5758,984,291,482,522,63,77,501,5241,18,444,898,20,467,1427,11500,760,5336,474286
2023/9/1,2258,342,9524,10602,2131,809,6094,76,54,5863,10944,13882,2389,4023,5650,4313,2029,4222,419,129,509,105,165,289,5162,153,282,134,1477,18482,9047,3731,3328,9556,333,1312,23544,6437,7086,1914,4770,8084,577,5616,10036,4255,5898,1197,174,597,279,1416,1070,6700,2680,6263,436,947,2583,1107,2325,1524,2847,1982,274,1574,4339,7940,4968,1451,1722,5126,3856,4664,7711,5934,3744,6624,3044,5331,5981,5766,4519,410,343,3175,2498,1352,353,5176,186,162,4844,1402,166,487,6232,1317,3588,335,332,156,64,322,1013,955,1719,7717,270,374,137,2212,8740,223,354,447,843,461,1005,75,11220,3330,151,131,1126,6046,3104,909,1051,4568,2445,6531,415,1777,578,847,139,1670,23,942,5814,994,295,485,525,64,78,504,5294,18,446,900,20,473,1434,11608,767,5381,478278
2023/10/1,2275,342,9608,10717,2153,813,6141,77,54,5923,11069,14006,2429,4065,5720,4367,2046,4276,423,131,510,105,166,296,5213,156,287,136,1492,18590,9113,3746,3344,9619,341,1319,23692,6484,7127,1926,4796,8138,582,5661,10129,4297,5971,1210,176,604,280,1437,1082,6774,2711,6321,441,954,2606,1121,2350,1544,2882,2004,276,1588,4374,8005,5014,1457,1734,5200,3899,4732,7823,5994,3776,6693,3083,5393,6060,5817,4574,411,345,3199,2517,1362,353,5223,187,163,4878,1408,166,489,6287,1327,3625,339,334,157,65,325,1016,959,1734,7778,271,379,137,2221,8796,225,357,450,850,464,1012,75,11312,3358,152,132,1135,6089,3129,915,1059,4607,2460,6582,417,1792,583,856,139,1678,24,945,5848,1001,297,492,535,64,78,509,5321,18,450,906,20,475,1441,11691,772,5429,482455
2023/11/1,2289,348,9692,10807,2172,822,6197,77,54,5972,11212,14121,2465,4110,5776,4396,2062,4312,427,132,515,106,167,298,5247,156,288,138,1499,18713,9167,3769,3367,9676,345,1328,23822,6527,7178,1935,4827,8193,584,5699,10250,4351,6018,1223,178,613,284,1455,1093,6844,2735,6417,446,962,2631,1133,2391,1563,2927,2025,279,1604,4399,8078,5077,1472,1760,5255,3948,4808,7932,6065,3806,6796,3121,5465,6146,5886,4634,415,347,3235,2536,1373,360,5260,192,164,4923,1421,166,492,6338,1330,3661,340,338,158,66,328,1023,976,1764,7827,271,387,137,2237,8859,228,359,455,853,467,1020,76,11417,3392,154,134,1145,6131,3160,918,1066,4655,2481,6654,417,1812,589,859,139,1690,26,951,5913,1011,297,497,538,64,78,515,5381,18,458,913,20,477,1451,11791,780,5495,486926
2023/12/1,2312,353,9790,10958,2208,831,6277,77,55,6043,11370,14304,2498,4155,5850,4446,2098,4363,428,136,520,108,167,302,5307,161,292,141,1516,18828,9237,3783,3388,9741,346,1335,23951,6566,7237,1948,4844,8245,590,5762,10381,4395,6081,1229,179,617,286,1473,1107,6932,2768,6480,449,970,2656,1147,2412,1583,2969,2054,281,1619,4437,8180,5130,1487,1771,5336,3993,4874,8059,6152,3846,6900,3169,5527,6209,5950,4706,419,351,3270,2558,1385,365,5303,194,164,4967,1428,167,493,6399,1336,3693,348,341,159,66,330,1030,996,1791,7878,275,389,137,2251,8936,229,361,459,856,469,1023,76,11490,3421,155,135,1154,6176,3192,925,1071,4698,2499,6711,419,1830,593,863,140,1701,28,955,5961,1021,298,502,540,64,80,521,5418,18,463,918,20,481,1464,11909,787,5545,491719
